"","IDV","IDS","IDS_CHEF","IDS_RAPID","edu","age","age2","male","lit","C1","G","G1","G2","G3","G4","q078_a_elections","q078_b_complaints","q078_c_suggestions","q078_corruption","q078_d_sensibiliser","q078_f_consult","q078_g_pork","q077_a_vote","q077_b_complain","q077_c_suggest","q077_d_meetings","q077_e_obey","q077_f_taxes","q077_g_support","q076_edu_e","q076_sante_e","q079_f_police","q079_g_state","qd2_chief","qd6_chief","qd7_chief","q011_sex","cq057_a_managed_conflict","cq058_a_conflict_same_locality","cq059_a_conflict_different_local","cq060_a_stealing","cq061_a_legal_problems","cq062_a_between_villagers","cq063_a_social","cq073_a_marriage","cq074_a_other_activities","avg_rain_dev","survey_month","t_minus_4_start","t_minus_4_end","t_minus_8_start","t_minus_8_end","meanEvents_t_minus_4","meanEvents_t_minus_8","Confl_Shock","rain","confl"
"1",11011,110117,"BASANGA",1,5,5.7,32.49,0,0,1,0.0714285714285714,0.142857142857143,0.142857142857143,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,"no",0,0,0,1,1,0,1,0,0,1.34599972465571,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.34599972465571,0
"2",11011,110118,"BASANGA",1,8,4.7,22.09,1,1,0,0.375,0.571428571428571,0.428571428571429,0,0.5,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,"yes",0,0,0,1,1,0,1,0,0,1.34599972465571,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.34599972465571,0
"3",11011,110116,"BASANGA",1,6,5.3,28.09,1,1,0,0.267857142857143,0.428571428571429,0.142857142857143,0.5,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"yes",0,0,0,1,1,0,1,0,0,1.34599972465571,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.34599972465571,0
"4",11011,110115,"BASANGA",1,5,6.4,40.96,0,1,0,0.285714285714286,0.142857142857143,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"no",0,0,0,1,1,0,1,0,0,1.34599972465571,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.34599972465571,0
"5",11011,110119,"BASANGA",1,10,4.1,16.81,0,1,0,0.178571428571429,0.428571428571429,0.285714285714286,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"no",0,0,0,1,1,0,1,0,0,1.34599972465571,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.34599972465571,0
"6",11012,110125,"BASANGA",0,4,6.8,46.24,1,1,0.666666666666667,0.142857142857143,0.285714285714286,0.285714285714286,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,"yes",1,1,0,0,1,1,0,0,0,1.31753271970287,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.31753271970287,0
"7",11012,110127,"BASANGA",0,6,6,36,1,1,0.333333333333333,0.214285714285714,0.428571428571429,0.428571428571429,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,"yes",1,1,0,0,1,1,0,0,0,1.31753271970287,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.31753271970287,0
"8",11012,110126,"BASANGA",0,4,5.3,28.09,0,1,0.333333333333333,0.0714285714285714,0.142857142857143,0.142857142857143,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"no",1,1,0,0,1,1,0,0,0,1.31753271970287,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.31753271970287,0
"9",11012,110129,"BASANGA",0,6,7.6,57.76,1,1,0.333333333333333,0.392857142857143,0.857142857142857,0.714285714285714,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,"yes",1,1,0,0,1,1,0,0,0,1.31753271970287,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.31753271970287,0
"10",11012,110128,"BASANGA",0,6,5,25,0,1,0.333333333333333,0.0714285714285714,0.142857142857143,0.142857142857143,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"no",1,1,0,0,1,1,0,0,0,1.31753271970287,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.31753271970287,0
"11",11021,110219,"BASANGA",1,7,4.1,16.81,1,1,0,0.267857142857143,0.285714285714286,0.285714285714286,0,0.5,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,"yes",1,0,0,1,1,1,1,0,0,1.27909995950098,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.27909995950098,0
"12",11021,110216,"BASANGA",1,6,3.1,9.61,0,1,0,0.285714285714286,0.428571428571429,0.714285714285714,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,"no",1,0,0,1,1,1,1,0,0,1.27909995950098,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.27909995950098,0
"13",11021,110218,"BASANGA",1,3,6.2,38.44,0,0,1,0.25,0.571428571428571,0.428571428571429,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,"no",1,0,0,1,1,1,1,0,0,1.27909995950098,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.27909995950098,0
"14",11021,110215,"BASANGA",1,7,2.6,6.76,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"yes",1,0,0,1,1,1,1,0,0,1.27909995950098,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.27909995950098,0
"15",11021,110217,"BASANGA",1,6,2.8,7.84,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"yes",1,0,0,1,1,1,1,0,0,1.27909995950098,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.27909995950098,0
"16",11022,110229,"BASANGA",0,3,4.6,21.16,0,0,1,0.25,0.428571428571429,0.571428571428571,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,"no",0,0,0,1,1,NA,1,NA,NA,1.28851767526701,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.28851767526701,0
"17",11022,110227,"BASANGA",0,5,5.9,34.81,0,0,1,0.25,0.428571428571429,0.571428571428571,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,"no",0,0,0,1,1,NA,1,NA,NA,1.28851767526701,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.28851767526701,0
"18",11022,110226,"BASANGA",0,7,4.5,20.25,1,1,0,0.357142857142857,1,0.428571428571429,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,"yes",0,0,0,1,1,NA,1,NA,NA,1.28851767526701,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.28851767526701,0
"19",11022,110225,"BASANGA",0,6,5,25,0,1,0,0.464285714285714,1,0.857142857142857,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,"no",0,0,0,1,1,NA,1,NA,NA,1.28851767526701,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.28851767526701,0
"20",11022,110228,"BASANGA",0,8,3.6,12.96,1,1,1,0.142857142857143,0.285714285714286,0.285714285714286,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,"yes",0,0,0,1,1,NA,1,NA,NA,1.28851767526701,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.28851767526701,0
"21",11031,110315,"BASANGA",1,1,6.6,43.56,0,0,1,0.0714285714285714,0.142857142857143,0.142857142857143,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,"no",0,0,0,1,0,1,1,0,0,1.28079978810909,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.28079978810909,0
"22",11031,110319,"BASANGA",1,3,8.2,67.24,0,0,1,0.142857142857143,0.428571428571429,0.142857142857143,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,"no",0,0,0,1,0,1,1,0,0,1.28079978810909,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.28079978810909,0
"23",11031,110316,"BASANGA",1,11,2.3,5.29,1,1,0,0.285714285714286,0.571428571428571,0.571428571428571,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,"yes",0,0,0,1,0,1,1,0,0,1.28079978810909,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.28079978810909,0
"24",11031,110317,"BASANGA",1,1,6.5,42.25,0,0,1,0.142857142857143,0.428571428571429,0.142857142857143,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,"no",0,0,0,1,0,1,1,0,0,1.28079978810909,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.28079978810909,0
"25",11031,110318,"BASANGA",1,8,4.7,22.09,1,1,0,0.285714285714286,0.571428571428571,0.571428571428571,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,"yes",0,0,0,1,0,1,1,0,0,1.28079978810909,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.28079978810909,0
"26",11032,110327,"BASANGA",0,10,5,25,1,1,0,0.178571428571429,0.285714285714286,0.428571428571429,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,"yes",0,0,0,1,0,0,1,0,1,1.28168061366226,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.28168061366226,0
"27",11032,110328,"BASANGA",0,13,3.5,12.25,0,1,0,0.321428571428571,0.571428571428571,0.714285714285714,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,"no",0,0,0,1,0,0,1,0,1,1.28168061366226,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.28168061366226,0
"28",11032,110325,"BASANGA",0,7,3.5,12.25,1,0,1,0.107142857142857,0.142857142857143,0.285714285714286,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,"yes",0,0,0,1,0,0,1,0,1,1.28168061366226,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.28168061366226,0
